CustomerID;CustomerName;BillToCustomerID;CustomerCategoryID;BuyingGroupID;PrimaryContactPersonID;AlternateContactPersonID;DeliveryMethodID;DeliveryCityID;PostalCityID;CreditLimit;AccountOpenedDate;StandardDiscountPercentage;IsStatementSent;IsOnCreditHold;PaymentDays;PhoneNumber;FaxNumber;DeliveryRun;RunPosition;WebsiteURL;DeliveryAddressLine1;DeliveryAddressLine2;DeliveryPostalCode;DeliveryLocation;PostalAddressLine1;PostalAddressLine2;PostalPostalCode;LastEditedBy;ValidFrom;ValidTo
19;Tailspin Toys (Lemeta, AK);1;3;1;1037;1038;3;19124;19124;;2013-01-01;,000;False;False;7;(907) 555-0100;(907) 555-0101;;;http://www.tailspintoys.com/Lemeta;Unit 174;1507 Izmaylov Crescent;90303;PO Box 7468;Kamasamudramville;90303;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
20;Tailspin Toys (College Place, WA);1;3;1;1039;1040;3;7160;7160;;2013-01-01;,000;False;False;7;(206) 555-0100;(206) 555-0101;;;http://www.tailspintoys.com/CollegePlace;Shop 151;1536 Bhutia Avenue;90050;PO Box 5317;Profisville;90050;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
21;Tailspin Toys (Tresckow, PA);1;3;1;1041;1042;3;34403;34403;;2013-01-01;,000;False;False;7;(215) 555-0100;(215) 555-0101;;;http://www.tailspintoys.com/Tresckow;Shop 147;640 Chakraborty Street;90790;PO Box 3237;Kasesaluville;90790;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
22;Tailspin Toys (Ward Ridge, FL);1;3;1;1043;1044;3;35844;35844;;2013-01-01;,000;False;False;7;(239) 555-0100;(239) 555-0101;;;http://www.tailspintoys.com/WardRidge;Shop 26;73 Berg Crescent;90784;PO Box 4356;Liepaville;90784;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
23;Tailspin Toys (Ikatan, AK);1;3;1;1045;1046;3;16411;16411;;2013-01-01;,000;False;False;7;(907) 555-0100;(907) 555-0101;;;http://www.tailspintoys.com/Ikatan;Unit 300;1467 Chang Lane;90019;PO Box 144;Vinjamuriville;90019;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
24;Tailspin Toys (Dundarrach, NC);1;3;1;1047;1048;3;9524;9524;;2013-01-01;,000;False;False;7;(252) 555-0100;(252) 555-0101;;;http://www.tailspintoys.com/Dundarrach;Shop 181;818 Paulet Avenue;90758;PO Box 8090;Novacek ville;90758;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
25;Tailspin Toys (Avenal, CA);1;3;1;1049;1050;3;1604;1604;;2013-01-01;,000;False;False;7;(209) 555-0100;(209) 555-0101;;;http://www.tailspintoys.com/Avenal;Shop 37;1143 Caune Crescent;90352;PO Box 8769;Mitraville;90352;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
26;Tailspin Toys (Hedrick, IA);1;3;1;1051;1052;3;15102;15102;;2013-01-01;,000;False;False;7;(319) 555-0100;(319) 555-0101;;;http://www.tailspintoys.com/Hedrick;Shop 119;1022 Folliero Street;90331;PO Box 9620;Ivanovville;90331;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
27;Tailspin Toys (Bowlus, MN);1;3;1;1053;1054;3;3707;3707;;2013-01-01;,000;False;False;7;(218) 555-0100;(218) 555-0101;;;http://www.tailspintoys.com/Bowlus;Shop 13;575 Pandit Crescent;90703;PO Box 6430;Akbulutville;90703;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
28;Tailspin Toys (North Ridge, NY);1;3;1;1055;1056;3;24700;24700;;2013-01-01;,000;False;False;7;(212) 555-0100;(212) 555-0101;;;http://www.tailspintoys.com/NorthRidge;Unit 40;890 Hlouskova Avenue;90024;PO Box 5352;Jarviville;90024;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
29;Tailspin Toys (Eulaton, AL);1;3;1;1057;1058;3;10910;10910;;2013-01-01;,000;False;False;7;(205) 555-0100;(205) 555-0101;;;http://www.tailspintoys.com/Eulaton;Shop 16;1606 Ahmadian Road;90571;PO Box 5749;Celmaville;90571;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
30;Tailspin Toys (Koontzville, WA);1;3;1;1059;1060;3;17999;17999;;2013-01-01;,000;False;False;7;(206) 555-0100;(206) 555-0101;;;http://www.tailspintoys.com/Koontzville;Suite 144;1907 Naicker Boulevard;90288;PO Box 3743;Kommineniville;90288;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
31;Tailspin Toys (Lake Stevens, WA);1;3;1;1061;1062;3;18460;18460;;2013-01-01;,000;False;False;7;(206) 555-0100;(206) 555-0101;;;http://www.tailspintoys.com/LakeStevens;Shop 238;1584 Hadrabova Street;90394;PO Box 108;Shasthriville;90394;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
32;Tailspin Toys (Maypearl, TX);1;3;1;1063;1064;3;21367;21367;;2013-01-01;,000;False;False;7;(210) 555-0100;(210) 555-0101;;;http://www.tailspintoys.com/Maypearl;Suite 157;1119 Friar Boulevard;90087;PO Box 8076;Deyville;90087;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
33;Tailspin Toys (Boyden Arbor, SC);1;3;1;1065;1066;3;3736;3736;;2013-01-01;,000;False;False;7;(803) 555-0100;(803) 555-0101;;;http://www.tailspintoys.com/BoydenArbor;Shop 151;799 Karnik Boulevard;90497;PO Box 135;Ghoshville;90497;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
34;Tailspin Toys (Dallardsville, TX);1;3;1;1067;1068;3;8375;8375;;2013-01-01;,000;False;False;7;(210) 555-0100;(210) 555-0101;;;http://www.tailspintoys.com/Dallardsville;Unit 103;1734 Jovicevic Crescent;90041;PO Box 8084;Celikville;90041;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
35;Tailspin Toys (Slanesville, WV);1;3;1;1069;1070;3;31758;31758;;2013-01-01;,000;False;False;7;(304) 555-0100;(304) 555-0101;;;http://www.tailspintoys.com/Slanesville;Suite 150;1959 Sarma Road;90601;PO Box 6433;Nilssonville;90601;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
36;Tailspin Toys (Ekron, KY);1;3;1;1071;1072;3;10193;10193;;2013-01-01;,000;False;False;7;(270) 555-0100;(270) 555-0101;;;http://www.tailspintoys.com/Ekron;Shop 2;155 Goransson Lane;90603;PO Box 1444;Veturiville;90603;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
37;Tailspin Toys (Kerby, OR);1;3;1;1073;1074;3;17591;17591;;2013-01-01;,000;False;False;7;(458) 555-0100;(458) 555-0101;;;http://www.tailspintoys.com/Kerby;Unit 16;339 Dwivedi Lane;90686;PO Box 3676;Kasesaluville;90686;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
38;Tailspin Toys (Airport Drive, MO);1;3;1;1075;1076;3;232;232;;2013-01-01;,000;False;False;7;(314) 555-0100;(314) 555-0101;;;http://www.tailspintoys.com/AirportDrive;Unit 115;232 Abbasi Avenue;90211;PO Box 4297;Tonville;90211;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
39;Tailspin Toys (Diablock, KY);1;3;1;1077;1078;3;9040;9040;;2013-01-01;,000;False;False;7;(270) 555-0100;(270) 555-0101;;;http://www.tailspintoys.com/Diablock;Shop 240;282 Barajas Street;90158;PO Box 6862;Ghatakville;90158;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
40;Tailspin Toys (Impact, TX);1;3;1;1079;1080;3;16433;16433;;2013-01-01;,000;False;False;7;(210) 555-0100;(210) 555-0101;;;http://www.tailspintoys.com/Impact;Unit 249;760 Trung Crescent;90326;PO Box 1853;Shakibaville;90326;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
41;Tailspin Toys (Olivette, MO);1;3;1;1081;1082;3;25376;25376;;2013-01-01;,000;False;False;7;(314) 555-0100;(314) 555-0101;;;http://www.tailspintoys.com/Olivette;Suite 262;1638 Couet Street;90042;PO Box 101;Cavalcanteville;90042;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
42;Tailspin Toys (Arietta, NY);1;3;1;1083;1084;3;1132;1132;;2013-01-01;,000;False;False;7;(212) 555-0100;(212) 555-0101;;;http://www.tailspintoys.com/Arietta;Unit 61;474 Tran Lane;90124;PO Box 3520;Malakarville;90124;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
43;Tailspin Toys (Upper Preston, WA);1;3;1;1085;1086;3;34910;34910;;2013-01-01;,000;False;False;7;(206) 555-0100;(206) 555-0101;;;http://www.tailspintoys.com/UpperPreston;Suite 105;980 Preda Crescent;90687;PO Box 4991;Sarkarville;90687;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
44;Tailspin Toys (Amanda Park, WA);1;3;1;1087;1088;3;696;696;;2013-01-01;,000;False;False;7;(206) 555-0100;(206) 555-0101;;;http://www.tailspintoys.com/AmandaPark;Unit 117;254 Celmina Street;90258;PO Box 1389;Dasville;90258;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
45;Tailspin Toys (Severna Park, MD);1;3;1;1089;1090;3;31104;31104;;2013-01-01;,000;False;False;7;(240) 555-0100;(240) 555-0101;;;http://www.tailspintoys.com/SevernaPark;Shop 214;384 Ang Road;90326;PO Box 7424;Yadavville;90326;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
46;Tailspin Toys (Jemison, AL);1;3;1;1091;1092;3;16992;16992;;2013-01-01;,000;False;False;7;(205) 555-0100;(205) 555-0101;;;http://www.tailspintoys.com/Jemison;Suite 31;589 Sagese Lane;90683;PO Box 5872;Bachville;90683;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
47;Tailspin Toys (Lake Hughes, CA);1;3;1;1093;1094;3;18375;18375;;2013-01-01;,000;False;False;7;(209) 555-0100;(209) 555-0101;;;http://www.tailspintoys.com/LakeHughes;Unit 91;1371 Saarijarvi Avenue;90358;PO Box 7635;Gunesville;90358;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
48;Tailspin Toys (Trentwood, WA);1;3;1;1095;1096;3;34400;34400;;2013-01-01;,000;False;False;7;(206) 555-0100;(206) 555-0101;;;http://www.tailspintoys.com/Trentwood;Shop 40;197 Jaramillo Street;90615;PO Box 9285;Pasekville;90615;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
49;Tailspin Toys (Muir, MI);1;3;1;1097;1098;3;23396;23396;;2013-01-01;,000;False;False;7;(231) 555-0100;(231) 555-0101;;;http://www.tailspintoys.com/Muir;Shop 37;1148 Khalsa Boulevard;90717;PO Box 1543;Patilville;90717;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
50;Tailspin Toys (Hambleton, WV);1;3;1;1099;1100;3;14380;14380;;2013-01-01;,000;False;False;7;(304) 555-0100;(304) 555-0101;;;http://www.tailspintoys.com/Hambleton;Unit 257;1715 Samaniego Street;90087;PO Box 1053;Chatterjeeville;90087;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
51;Tailspin Toys (Imlaystown, NJ);1;3;1;1101;1102;3;16430;16430;;2013-01-01;,000;False;False;7;(201) 555-0100;(201) 555-0101;;;http://www.tailspintoys.com/Imlaystown;Suite 12;1305 Kaleja Street;90051;PO Box 5129;Ghateville;90051;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
52;Tailspin Toys (Idria, CA);1;3;1;1103;1104;3;16401;16401;;2013-01-01;,000;False;False;7;(209) 555-0100;(209) 555-0101;;;http://www.tailspintoys.com/Idria;Shop 99;1189 Malakar Road;90556;PO Box 4080;Nairville;90556;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
53;Tailspin Toys (Nanafalia, AL);1;3;1;1105;1106;3;23560;23560;;2013-01-01;,000;False;False;7;(205) 555-0100;(205) 555-0101;;;http://www.tailspintoys.com/Nanafalia;Suite 217;1729 Dey Road;90783;PO Box 3979;Javanville;90783;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
54;Tailspin Toys (Railroad, PA);1;3;1;1107;1108;3;28222;28222;;2013-01-01;,000;False;False;7;(215) 555-0100;(215) 555-0101;;;http://www.tailspintoys.com/Railroad;Suite 158;1032 Duperre Street;90586;PO Box 9885;Novakovicville;90586;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
55;Tailspin Toys (Gum Branch, GA);1;3;1;1109;1110;3;14194;14194;;2013-01-01;,000;False;False;7;(229) 555-0100;(229) 555-0101;;;http://www.tailspintoys.com/GumBranch;Suite 220;1500 Utjesenovic Lane;90559;PO Box 3204;Gangulyville;90559;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
56;Tailspin Toys (Royal City, WA);1;3;1;1111;1112;3;29729;29729;;2013-01-01;,000;False;False;7;(206) 555-0100;(206) 555-0101;;;http://www.tailspintoys.com/RoyalCity;Shop 20;1098 Tatarescu Lane;90398;PO Box 7314;Montyville;90398;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
57;Tailspin Toys (Lakemore, OH);1;3;1;1113;1114;3;18514;18514;;2013-01-01;,000;False;False;7;(216) 555-0100;(216) 555-0101;;;http://www.tailspintoys.com/Lakemore;Unit 136;1331 Dutta Crescent;90347;PO Box 7331;Ghateville;90347;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
58;Tailspin Toys (Mappsburg, VA);1;3;1;1115;1116;3;20868;20868;;2013-01-01;,000;False;False;7;(276) 555-0100;(276) 555-0101;;;http://www.tailspintoys.com/Mappsburg;Shop 177;1736 Han Avenue;90678;PO Box 4007;Viidingville;90678;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
59;Tailspin Toys (Edgartown, MA);1;3;1;1117;1118;3;10055;10055;;2013-01-01;,000;False;False;7;(339) 555-0100;(339) 555-0101;;;http://www.tailspintoys.com/Edgartown;Suite 157;659 Hybl Boulevard;90684;PO Box 4268;Predaville;90684;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
60;Tailspin Toys (East Dailey, WV);1;3;1;1119;1120;3;9772;9772;;2013-01-01;,000;False;False;7;(304) 555-0100;(304) 555-0101;;;http://www.tailspintoys.com/EastDailey;Unit 188;838 Lucescu Street;90548;PO Box 9407;Sikdarville;90548;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
61;Tailspin Toys (Fairfield Glade, TN);1;3;1;1121;1122;3;11131;11131;;2013-01-01;,000;False;False;7;(423) 555-0100;(423) 555-0101;;;http://www.tailspintoys.com/FairfieldGlade;Shop 233;1695 Hudecova Avenue;90050;PO Box 9770;Korkmazville;90050;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
62;Tailspin Toys (Great Neck Estates, NY);1;3;1;1123;1124;3;13800;13800;;2013-01-01;,000;False;False;7;(212) 555-0100;(212) 555-0101;;;http://www.tailspintoys.com/GreatNeckEstates;Shop 263;551 Enestam Crescent;90240;PO Box 4309;Holyville;90240;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
63;Tailspin Toys (Stallion Springs, CA);1;3;1;1125;1126;3;32561;32561;;2013-01-01;,000;False;False;7;(209) 555-0100;(209) 555-0101;;;http://www.tailspintoys.com/StallionSprings;Unit 175;1199 Cerkez Street;90076;PO Box 1448;Blijlevenville;90076;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
64;Tailspin Toys (Hodgdon, ME);1;3;1;1127;1128;3;15646;15646;;2013-01-01;,000;False;False;7;(207) 555-0100;(207) 555-0101;;;http://www.tailspintoys.com/Hodgdon;Shop 133;967 Alizadeh Boulevard;90673;PO Box 4452;Rambhatlaville;90673;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
65;Tailspin Toys (North Cowden, TX);1;3;1;1129;1130;3;24579;24579;;2013-01-01;,000;False;False;7;(210) 555-0100;(210) 555-0101;;;http://www.tailspintoys.com/NorthCowden;Suite 18;402 Nan Road;90406;PO Box 7359;Barbosaville;90406;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
66;Tailspin Toys (Madaket, MA);1;3;1;1131;1132;3;20475;20475;;2013-01-01;,000;False;False;7;(339) 555-0100;(339) 555-0101;;;http://www.tailspintoys.com/Madaket;Suite 2;1052 Hoa Lane;90614;PO Box 2583;Tonville;90614;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
67;Tailspin Toys (Sentinel Butte, ND);1;3;1;1133;1134;3;31075;31075;;2013-01-01;,000;False;False;7;(701) 555-0100;(701) 555-0101;;;http://www.tailspintoys.com/SentinelButte;Unit 18;1240 Utjesenovic Street;90422;PO Box 1792;Tekinville;90422;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
68;Tailspin Toys (Gardere, LA);1;3;1;1135;1136;3;12653;12653;;2013-01-01;,000;False;False;7;(225) 555-0100;(225) 555-0101;;;http://www.tailspintoys.com/Gardere;Unit 72;1195 Rozitis Road;90136;PO Box 1620;Deville;90136;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
69;Tailspin Toys (Lytle Creek, CA);1;3;1;1137;1138;3;20413;20413;;2013-01-01;,000;False;False;7;(209) 555-0100;(209) 555-0101;;;http://www.tailspintoys.com/LytleCreek;Unit 134;1204 Grgic Lane;90795;PO Box 1749;Gomesville;90795;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
70;Tailspin Toys (New Baden, IL);1;3;1;1139;1140;3;23843;23843;;2013-01-01;,000;False;False;7;(217) 555-0100;(217) 555-0101;;;http://www.tailspintoys.com/NewBaden;Unit 7;98 Cetinkaya Street;90235;PO Box 5351;Tonville;90235;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
71;Tailspin Toys (Good Hart, MI);1;3;1;1141;1142;3;13375;13375;;2013-01-01;,000;False;False;7;(231) 555-0100;(231) 555-0101;;;http://www.tailspintoys.com/GoodHart;Shop 80;2001 Rajanala Road;90466;PO Box 9785;Espositoville;90466;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
72;Tailspin Toys (Cortaro, AZ);1;3;1;1143;1144;3;7672;7672;;2013-01-01;,000;False;False;7;(480) 555-0100;(480) 555-0101;;;http://www.tailspintoys.com/Cortaro;Suite 231;1809 Ioveanu Lane;90351;PO Box 3421;Mokkapativille;90351;1;2013-01-01T00:00:00.0000000;9999-12-31T23:59:59.9999999;9999-12-31T23:59:59.9999999
